"year","source","target","type","distance"
1949,"Egypt","Israel","opposing",50
1949,"Iraq","Israel","opposing",50
1949,"Jordan","Israel","opposing",50
1949,"Lebanon","Israel","opposing",50
1949,"Syria","Israel","opposing",50
1949,"France","Khmer Issarak","opposing",50
1949,"Myanmar (Burma)","KNUP","opposing",50
1949,"France","Lao Issara","opposing",50
1949,"Myanmar (Burma)","MFL-MUF","opposing",50
1949,"Guatemala","Military faction","opposing",50
1949,"Myanmar (Burma)","Mujahid Party","opposing",50
1949,"Israel","Palestinian insurgents","opposing",50
1949,"China","PLA","opposing",50
1949,"Myanmar (Burma)","PNDF","opposing",50
1949,"Myanmar (Burma)","PVO - ""White Band"" faction","opposing",50
1949,"North Korea","South Korea","opposing",50
1949,"China","Taiwan","opposing",50
1949,"New Zealand","United Kingdom","supportive",100
1949,"Russia (Soviet Union)","UPA","opposing",50
1949,"France","Viet minh","opposing",50
1950,"Myanmar (Burma)","APLP","opposing",50
1950,"Myanmar (Burma)","CPB","opposing",50
1950,"Myanmar (Burma)","CPB-RF","opposing",50
1950,"India","CPI","opposing",50
1950,"Australia","CPM","opposingdirected",200
1950,"New Zealand","CPM","opposingdirected",200
1950,"United Kingdom","CPM","opposing",50
1950,"Philippines","Huk","opposing",50
1950,"France","Khmer Issarak","opposing",50
1950,"Myanmar (Burma)","KNUP","opposing",50
1950,"France","Lao Issara","opposing",50
1950,"Myanmar (Burma)","MFL-MUF","opposing",50
1950,"Myanmar (Burma)","Mujahid Party","opposing",50
1950,"Australia","North Korea","opposingdirected",200
1950,"Canada","North Korea","opposingdirected",200
1950,"China","North Korea","supportive",100
1950,"France","North Korea","opposingdirected",200
1950,"Greece","North Korea","opposingdirected",200
1950,"New Zealand","North Korea","opposingdirected",200
1950,"Philippines","North Korea","opposingdirected",200
1950,"Russia (Soviet Union)","North Korea","supportive",100
1950,"South Africa","North Korea","opposingdirected",200
1950,"Thailand","North Korea","opposingdirected",200
1950,"Turkey","North Korea","opposingdirected",200
1950,"United Kingdom","North Korea","opposingdirected",200
1950,"United States of America","North Korea","opposingdirected",200
1950,"Israel","Palestinian insurgents","opposing",50
1950,"Myanmar (Burma)","PNDF","opposing",50
1950,"United States of America","Puerto Rican Nationalist Party","opposing",50
1950,"Myanmar (Burma)","PVO - ""White Band"" faction","opposing",50
1950,"Indonesia","Republic of South Moluccas","opposing",50
1950,"Australia","South Korea","supportive",100
1950,"Canada","South Korea","supportive",100
1950,"China","South Korea","opposingdirected",200
1950,"France","South Korea","supportive",100
1950,"Greece","South Korea","supportive",100
1950,"New Zealand","South Korea","supportive",100
1950,"North Korea","South Korea","opposing",50
1950,"Philippines","South Korea","supportive",100
1950,"Russia (Soviet Union)","South Korea","opposingdirected",200
1950,"South Africa","South Korea","supportive",100
1950,"Thailand","South Korea","supportive",100
1950,"Turkey","South Korea","supportive",100
1950,"United Kingdom","South Korea","supportive",100
1950,"United States of America","South Korea","supportive",100
1950,"China","Taiwan","opposing",50
1950,"China","Tibet","opposing",50
1950,"Australia","United Kingdom","supportive",100
1950,"New Zealand","United Kingdom","supportive",100
1950,"Russia (Soviet Union)","UPA","opposing",50
1950,"France","Viet minh","opposing",50
1951,"Myanmar (Burma)","APLP","opposing",50
1951,"Myanmar (Burma)","CPB","opposing",50
1951,"India","CPI","opposing",50
1951,"Australia","CPM","opposingdirected",200
1951,"New Zealand","CPM","opposingdirected",200
1951,"United Kingdom","CPM","opposing",50
1951,"Philippines","Huk","opposing",50
1951,"France","Khmer Issarak","opposing",50
1951,"Myanmar (Burma)","KNUP","opposing",50
1951,"France","Lao Issara","opposing",50
1951,"Myanmar (Burma)","MFL-MUF","opposing",50
1951,"Thailand","Military faction (Navy)","opposing",50
1951,"Myanmar (Burma)","Mujahid Party","opposing",50
1951,"Australia","North Korea","opposingdirected",200
1951,"Belgium","North Korea","opposingdirected",200
1951,"Canada","North Korea","opposingdirected",200
1951,"China","North Korea","supportive",100
1951,"Colombia","North Korea","opposingdirected",200
1951,"Ethiopia","North Korea","opposingdirected",200
1951,"France","North Korea","opposingdirected",200
1951,"Greece","North Korea","opposingdirected",200
1951,"Luxembourg","North Korea","opposingdirected",200
1951,"Netherlands","North Korea","opposingdirected",200
1951,"New Zealand","North Korea","opposingdirected",200
1951,"Philippines","North Korea","opposingdirected",200
1951,"Russia (Soviet Union)","North Korea","supportive",100
1951,"South Africa","North Korea","opposingdirected",200
1951,"Thailand","North Korea","opposingdirected",200
1951,"Turkey","North Korea","opposingdirected",200
1951,"United Kingdom","North Korea","opposingdirected",200
1951,"United States of America","North Korea","opposingdirected",200
1951,"Israel","Palestinian insurgents","opposing",50
1951,"Myanmar (Burma)","PVO - ""White Band"" faction","opposing",50
1951,"Australia","South Korea","supportive",100
1951,"Belgium","South Korea","supportive",100
1951,"Canada","South Korea","supportive",100
1951,"China","South Korea","opposingdirected",200
1951,"Colombia","South Korea","supportive",100
1951,"Ethiopia","South Korea","supportive",100
1951,"France","South Korea","supportive",100
1951,"Greece","South Korea","supportive",100
1951,"Luxembourg","South Korea","supportive",100
1951,"Netherlands","South Korea","supportive",100
1951,"New Zealand","South Korea","supportive",100
1951,"North Korea","South Korea","opposing",50
1951,"Philippines","South Korea","supportive",100
1951,"Russia (Soviet Union)","South Korea","opposingdirected",200
1951,"South Africa","South Korea","supportive",100
1951,"Thailand","South Korea","supportive",100
1951,"Turkey","South Korea","supportive",100
1951,"United Kingdom","South Korea","supportive",100
1951,"United States of America","South Korea","supportive",100
1951,"Australia","United Kingdom","supportive",100
1951,"Egypt","United Kingdom","opposing",50
1951,"New Zealand","United Kingdom","supportive",100
1951,"France","Viet minh","opposing",50
1952,"Myanmar (Burma)","APLP","opposing",50
1952,"Myanmar (Burma)","CPB","opposing",50
1952,"Australia","CPM","opposingdirected",200
1952,"New Zealand","CPM","opposingdirected",200
1952,"United Kingdom","CPM","opposing",50
1952,"Philippines","Huk","opposing",50
1952,"France","Khmer Issarak","opposing",50
1952,"Myanmar (Burma)","KNUP","opposing",50
1952,"France","Lao Issara","opposing",50
1952,"United Kingdom","Mau Mau","opposing",50
1952,"Bolivia","MNR","opposing",50
1952,"Myanmar (Burma)","MPF","opposing",50
1952,"Myanmar (Burma)","Mujahid Party","opposing",50
1952,"Australia","North Korea","opposingdirected",200
1952,"Belgium","North Korea","opposingdirected",200
1952,"Canada","North Korea","opposingdirected",200
1952,"China","North Korea","supportive",100
1952,"Colombia","North Korea","opposingdirected",200
1952,"Ethiopia","North Korea","opposingdirected",200
1952,"France","North Korea","opposingdirected",200
1952,"Greece","North Korea","opposingdirected",200
1952,"Luxembourg","North Korea","opposingdirected",200
1952,"Netherlands","North Korea","opposingdirected",200
1952,"New Zealand","North Korea","opposingdirected",200
1952,"Philippines","North Korea","opposingdirected",200
1952,"Russia (Soviet Union)","North Korea","supportive",100
1952,"South Africa","North Korea","opposingdirected",200
1952,"Thailand","North Korea","opposingdirected",200
1952,"Turkey","North Korea","opposingdirected",200
1952,"United Kingdom","North Korea","opposingdirected",200
1952,"United States of America","North Korea","opposingdirected",200
1952,"Israel","Palestinian insurgents","opposing",50
1952,"Myanmar (Burma)","PVO - ""White Band"" faction","opposing",50
1952,"Australia","South Korea","supportive",100
1952,"Belgium","South Korea","supportive",100
1952,"Canada","South Korea","supportive",100
1952,"China","South Korea","opposingdirected",200
1952,"Colombia","South Korea","supportive",100
1952,"Ethiopia","South Korea","supportive",100
1952,"France","South Korea","supportive",100
1952,"Greece","South Korea","supportive",100
1952,"Luxembourg","South Korea","supportive",100
1952,"Netherlands","South Korea","supportive",100
1952,"New Zealand","South Korea","supportive",100
1952,"North Korea","South Korea","opposing",50
1952,"Philippines","South Korea","supportive",100
1952,"Russia (Soviet Union)","South Korea","opposingdirected",200
1952,"South Africa","South Korea","supportive",100
1952,"Thailand","South Korea","supportive",100
1952,"Turkey","South Korea","supportive",100
1952,"United Kingdom","South Korea","supportive",100
1952,"United States of America","South Korea","supportive",100
1952,"Australia","United Kingdom","supportive",100
1952,"Egypt","United Kingdom","opposing",50
1952,"New Zealand","United Kingdom","supportive",100
1952,"France","Viet minh","opposing",50
1953,"Myanmar (Burma)","APLP","opposing",50
1953,"Myanmar (Burma)","CPB","opposing",50
1953,"Australia","CPM","opposingdirected",200
1953,"New Zealand","CPM","opposingdirected",200
1953,"United Kingdom","CPM","opposing",50
1953,"Indonesia","Darul Islam","opposing",50
1953,"Philippines","Huk","opposing",50
1953,"France","Istiqlal","opposing",50
1953,"France","Khmer Issarak","opposing",50
1953,"Myanmar (Burma)","KNUP","opposing",50
1953,"France","Lao Issara","opposing",50
1953,"Cuba","M-26-7","opposing",50
1953,"United Kingdom","Mau Mau","opposing",50
1953,"Myanmar (Burma)","MPF","opposing",50
1953,"Myanmar (Burma)","Mujahid Party","opposing",50
1953,"France","National Liberation Army","opposing",50
1953,"Australia","North Korea","opposingdirected",200
1953,"Belgium","North Korea","opposingdirected",200
1953,"Canada","North Korea","opposingdirected",200
1953,"China","North Korea","supportive",100
1953,"Colombia","North Korea","opposingdirected",200
1953,"Ethiopia","North Korea","opposingdirected",200
1953,"France","North Korea","opposingdirected",200
1953,"Greece","North Korea","opposingdirected",200
1953,"Luxembourg","North Korea","opposingdirected",200
1953,"Netherlands","North Korea","opposingdirected",200
1953,"New Zealand","North Korea","opposingdirected",200
1953,"Philippines","North Korea","opposingdirected",200
1953,"Russia (Soviet Union)","North Korea","supportive",100
1953,"South Africa","North Korea","opposingdirected",200
1953,"Thailand","North Korea","opposingdirected",200
1953,"Turkey","North Korea","opposingdirected",200
1953,"United Kingdom","North Korea","opposingdirected",200
1953,"United States of America","North Korea","opposingdirected",200
1953,"Israel","Palestinian insurgents","opposing",50
1953,"Myanmar (Burma)","PVO - ""White Band"" faction","opposing",50
1953,"Australia","South Korea","supportive",100
1953,"Belgium","South Korea","supportive",100
1953,"Canada","South Korea","supportive",100
1953,"China","South Korea","opposingdirected",200
1953,"Colombia","South Korea","supportive",100
1953,"Ethiopia","South Korea","supportive",100
1953,"France","South Korea","supportive",100
1953,"Greece","South Korea","supportive",100
1953,"Luxembourg","South Korea","supportive",100
1953,"Netherlands","South Korea","supportive",100
1953,"New Zealand","South Korea","supportive",100
1953,"North Korea","South Korea","opposing",50
1953,"Philippines","South Korea","supportive",100
1953,"Russia (Soviet Union)","South Korea","opposingdirected",200
1953,"South Africa","South Korea","supportive",100
1953,"Thailand","South Korea","supportive",100
1953,"Turkey","South Korea","supportive",100
1953,"United Kingdom","South Korea","supportive",100
1953,"United States of America","South Korea","supportive",100
1953,"Australia","United Kingdom","supportive",100
1953,"New Zealand","United Kingdom","supportive",100
1953,"France","Viet minh","opposing",50
1954,"Myanmar (Burma)","APLP","opposing",50
1954,"United States of America","China","opposingdirected",200
1954,"Myanmar (Burma)","CPB","opposing",50
1954,"Australia","CPM","opposingdirected",200
1954,"New Zealand","CPM","opposingdirected",200
1954,"United Kingdom","CPM","opposing",50
1954,"France","FLN","opposing",50
1954,"Guatemala","Forces of Carlos Castillo Armas","opposing",50
1954,"Philippines","Huk","opposing",50
1954,"France","Istiqlal","opposing",50
1954,"Myanmar (Burma)","KNUP","opposing",50
1954,"United Kingdom","Mau Mau","opposing",50
1954,"Paraguay","Military faction (forces of Alfredo Stroessner)","opposing",50
1954,"Myanmar (Burma)","MPF","opposing",50
1954,"Myanmar (Burma)","Mujahid Party","opposing",50
1954,"France","National Liberation Army","opposing",50
1954,"Israel","Palestinian insurgents","opposing",50
1954,"China","Taiwan","opposing",50
1954,"United States of America","Taiwan","supportive",100
1954,"Australia","United Kingdom","supportive",100
1954,"New Zealand","United Kingdom","supportive",100
1954,"France","Viet minh","opposing",50
1955,"Myanmar (Burma)","APLP","opposing",50
1955,"Myanmar (Burma)","CPB","opposing",50
1955,"Australia","CPM","opposingdirected",200
1955,"New Zealand","CPM","opposingdirected",200
1955,"United Kingdom","CPM","opposing",50
1955,"United Kingdom","EOKA","opposing",50
1955,"France","FLN","opposing",50
1955,"South Vietnam","FNL","opposing",50
1955,"France","Istiqlal","opposing",50
1955,"Myanmar (Burma)","KNUP","opposing",50
1955,"United Kingdom","Mau Mau","opposing",50
1955,"Argentina","Military faction (forces of Eduardo A. Lonardi Doucet)","opposing",50
1955,"Argentina","Military faction (forces of Samuel Toranzo Calderón)","opposing",50
1955,"France","MNA","opposing",50
1955,"Myanmar (Burma)","MPF","opposing",50
1955,"Myanmar (Burma)","Mujahid Party","opposing",50
1955,"France","National Liberation Army","opposing",50
1955,"Israel","Palestinian insurgents","opposing",50
1955,"Australia","United Kingdom","supportive",100
1955,"New Zealand","United Kingdom","supportive",100
1956,"Myanmar (Burma)","APLP","opposing",50
1956,"Myanmar (Burma)","CPB","opposing",50
1956,"Australia","CPM","opposingdirected",200
1956,"New Zealand","CPM","opposingdirected",200
1956,"United Kingdom","CPM","opposing",50
1956,"United Kingdom","EOKA","opposing",50
1956,"France","FLN","opposing",50
1956,"South Vietnam","FNL","opposing",50
1956,"Egypt","France","opposing",50
1956,"Egypt","Israel","opposing",50
1956,"France","Istiqlal","opposing",50
1956,"Myanmar (Burma)","KNUP","opposing",50
1956,"Cuba","M-26-7","opposing",50
1956,"United Kingdom","Mau Mau","opposing",50
1956,"France","MNA","opposing",50
1956,"Myanmar (Burma)","MPF","opposing",50
1956,"Myanmar (Burma)","Mujahid Party","opposing",50
1956,"France","National Liberation Army","opposing",50
1956,"India","NNC","opposing",50
1956,"Israel","Palestinian insurgents","opposing",50
1956,"Hungary","Russia (Soviet Union)","opposing",50
1956,"China","Tibet","opposing",50
1956,"Australia","United Kingdom","supportive",100
1956,"Egypt","United Kingdom","opposing",50
1956,"New Zealand","United Kingdom","supportive",100
1957,"Myanmar (Burma)","APLP","opposing",50
1957,"Myanmar (Burma)","CPB","opposing",50
1957,"Australia","CPM","opposingdirected",200
1957,"New Zealand","CPM","opposingdirected",200
1957,"United Kingdom","CPM","opposing",50
1957,"United Kingdom","EOKA","opposing",50
1957,"France","FLN","opposing",50
1957,"South Vietnam","FNL","opposing",50
1957,"Spain","France","supportive",100
1957,"Myanmar (Burma)","KNPP","opposing",50
1957,"Myanmar (Burma)","KNUP","opposing",50
1957,"Cuba","M-26-7","opposing",50
1957,"France","MNA","opposing",50
1957,"Myanmar (Burma)","MPF","opposing",50
1957,"Myanmar (Burma)","Mujahid Party","opposing",50
1957,"Honduras","Nicaragua","opposing",50
1957,"France","NLA","opposing",50
1957,"France","NLA","opposingdirected",200
1957,"Spain","NLA","opposing",50
1957,"Spain","NLA","opposingdirected",200
1957,"India","NNC","opposing",50
1957,"United Kingdom","Oman","supportive",100
1957,"Israel","Palestinian insurgents","opposing",50
1957,"France","Spain","supportive",100
1957,"Oman","State of Oman/Free Oman","opposing",50
1957,"United Kingdom","State of Oman/Free Oman","opposingdirected",200
1957,"Australia","United Kingdom","supportive",100
1957,"New Zealand","United Kingdom","supportive",100
1957,"France","UPC","opposing",50
1958,"United States of America","China","opposingdirected",200
1958,"Myanmar (Burma)","CPB","opposing",50
1958,"Australia","CPM","opposingdirected",200
1958,"Malaysia","CPM","opposing",50
1958,"New Zealand","CPM","opposingdirected",200
1958,"United Kingdom","CPM","opposingdirected",200
1958,"Indonesia","Darul Islam","opposing",50
1958,"United Kingdom","EOKA","opposing",50
1958,"France","FLN","opposing",50
1958,"South Vietnam","FNL","opposing",50
1958,"Spain","France","supportive",100
1958,"Lebanon","Independent Nasserite Movement /Mourabitoun militia","opposing",50
1958,"Myanmar (Burma)","KNUP","opposing",50
1958,"Cuba","M-26-7","opposing",50
1958,"Australia","Malaysia","supportive",100
1958,"New Zealand","Malaysia","supportive",100
1958,"United Kingdom","Malaysia","supportive",100
1958,"Iraq","Military Faction (Free Officers Movement)","opposing",50
1958,"Myanmar (Burma)","MPF","opposing",50
1958,"Myanmar (Burma)","Mujahid Party","opposing",50
1958,"France","NLA","opposing",50
1958,"France","NLA","opposingdirected",200
1958,"Spain","NLA","opposing",50
1958,"Spain","NLA","opposingdirected",200
1958,"India","NNC","opposing",50
1958,"Israel","Palestinian insurgents","opposing",50
1958,"Indonesia","Permesta movement","opposing",50
1958,"Indonesia","PRRI","opposing",50
1958,"France","Spain","supportive",100
1958,"China","Taiwan","opposing",50
1958,"United States of America","Taiwan","supportive",100
1958,"France","UPC","opposing",50
1959,"Myanmar (Burma)","CPB","opposing",50
1959,"Australia","CPM","opposingdirected",200
1959,"Malaysia","CPM","opposing",50
1959,"New Zealand","CPM","opposingdirected",200
1959,"United Kingdom","CPM","opposingdirected",200
1959,"Indonesia","Darul Islam","opposing",50
1959,"United Kingdom","EOKA","opposing",50
1959,"France","FLN","opposing",50
1959,"South Vietnam","FNL","opposing",50
1959,"Myanmar (Burma)","KNUP","opposing",50
1959,"Australia","Malaysia","supportive",100
1959,"New Zealand","Malaysia","supportive",100
1959,"United Kingdom","Malaysia","supportive",100
1959,"Iraq","Military faction (forces of Abdul Wahab al-Shawaf)","opposing",50
1959,"Myanmar (Burma)","Mujahid Party","opposing",50
1959,"Myanmar (Burma)","NMSP","opposing",50
1959,"India","NNC","opposing",50
1959,"Myanmar (Burma)","NSH","opposing",50
1959,"Israel","Palestinian insurgents","opposing",50
1959,"Laos","Pathet Lao","opposing",50
1959,"Indonesia","Permesta movement","opposing",50
1959,"Indonesia","PRRI","opposing",50
1959,"China","Tibet","opposing",50
1959,"France","UPC","opposing",50
1960,"France","Cameroon","supportive",100
1960,"Myanmar (Burma)","CPB","opposing",50
1960,"Australia","CPM","opposingdirected",200
1960,"Malaysia","CPM","opposing",50
1960,"New Zealand","CPM","opposingdirected",200
1960,"United Kingdom","CPM","opposingdirected",200
1960,"Indonesia","Darul Islam","opposing",50
1960,"France","FLN","opposing",50
1960,"South Vietnam","FNL","opposing",50
1960,"DR Congo (Zaire)","Independent Mining State of South Kasai","opposing",50
1960,"Myanmar (Burma)","KNUP","opposing",50
1960,"Thailand","Laos","supportive",100
1960,"Australia","Malaysia","supportive",100
1960,"New Zealand","Malaysia","supportive",100
1960,"United Kingdom","Malaysia","supportive",100
1960,"Ethiopia","Military faction (forces of Mengistu Neway)","opposing",50
1960,"Myanmar (Burma)","Mujahid Party","opposing",50
1960,"Nepal","Nepali Congress","opposing",50
1960,"Laos","Neutralists","opposing",50
1960,"Thailand","Neutralists","opposingdirected",200
1960,"Myanmar (Burma)","NMSP","opposing",50
1960,"Israel","Palestinian insurgents","opposing",50
1960,"Laos","Pathet Lao","opposing",50
1960,"Thailand","Pathet Lao","opposingdirected",200
1960,"Indonesia","Permesta movement","opposing",50
1960,"Indonesia","PRRI","opposing",50
1960,"Myanmar (Burma)","SSIA","opposing",50
1960,"DR Congo (Zaire)","State of Katanga","opposing",50
1960,"Cameroon","UPC","opposing",50
1960,"France","UPC","opposingdirected",200
1961,"Myanmar (Burma)","CPB","opposing",50
1961,"United States of America","Cuba","opposingdirected",200
1961,"Cuba","Cuban Revolutionary Council","opposing",50
1961,"United States of America","Cuban Revolutionary Council","supportive",100
1961,"Indonesia","Darul Islam","opposing",50
1961,"France","FLN","opposing",50
1961,"South Vietnam","FNL","opposing",50
1961,"Portugal","FNLA","opposing",50
1961,"DR Congo (Zaire)","Independent Mining State of South Kasai","opposing",50
1961,"Iraq","KDP","opposing",50
1961,"Myanmar (Burma)","KIO","opposing",50
1961,"Myanmar (Burma)","KNUP","opposing",50
1961,"Thailand","Laos","supportive",100
1961,"Portugal","MPLA","opposing",50
1961,"Myanmar (Burma)","Mujahid Party","opposing",50
1961,"Nepal","Nepali Congress","opposing",50
1961,"Myanmar (Burma)","NMSP","opposing",50
1961,"India","NNC","opposing",50
1961,"France","OAS","opposing",50
1961,"Israel","Palestinian insurgents","opposing",50
1961,"Laos","Pathet Lao","opposing",50
1961,"Thailand","Pathet Lao","opposingdirected",200
1961,"Indonesia","Permesta movement","opposing",50
1961,"Indonesia","PRRI","opposing",50
1961,"Myanmar (Burma)","SSIA","opposing",50
1961,"DR Congo (Zaire)","State of Katanga","opposing",50
1961,"France","Tunisia","opposing",50
1961,"Cameroon","UPC","opposing",50
1962,"Myanmar (Burma)","CPB","opposing",50
1962,"France","FLN","opposing",50
1962,"South Vietnam","FNL","opposing",50
1962,"United States of America","FNL","opposingdirected",200
1962,"Portugal","FNLA","opposing",50
1962,"DR Congo (Zaire)","Independent Mining State of South Kasai","opposing",50
1962,"China","India","opposing",50
1962,"Iraq","KDP","opposing",50
1962,"Myanmar (Burma)","KIO","opposing",50
1962,"Myanmar (Burma)","KNUP","opposing",50
1962,"Venezuela","Military faction (navy)","opposing",50
1962,"Nepal","Nepali Congress","opposing",50
1962,"Indonesia","Netherlands","opposing",50
1962,"Myanmar (Burma)","NMSP","opposing",50
1962,"India","NNC","opposing",50
1962,"United Kingdom","North Kalimantan Liberation Army","opposing",50
1962,"Egypt","North Yemen","supportive",100
1962,"France","OAS","opposing",50
1962,"Israel","Palestinian insurgents","opposing",50
1962,"Egypt","Royalists","opposingdirected",200
1962,"North Yemen","Royalists","opposing",50
1962,"Myanmar (Burma)","SNUF","opposing",50
1962,"United States of America","South Vietnam","supportive",100
1962,"DR Congo (Zaire)","State of Katanga","opposing",50
1963,"Sudan","Anya Nya","opposing",50
1963,"Malaysia","CCO","opposing",50
1963,"Myanmar (Burma)","CPB","opposing",50
1963,"Guatemala","FAR I","opposing",50
1963,"South Vietnam","FNL","opposing",50
1963,"United States of America","FNL","opposingdirected",200
1963,"Portugal","FNLA","opposing",50
1963,"United Kingdom","Indonesia","opposingdirected",200
1963,"Iraq","KDP","opposing",50
1963,"Myanmar (Burma)","KIO","opposing",50
1963,"Myanmar (Burma)","KNUP","opposing",50
1963,"North Vietnam","Laos","opposingdirected",200
1963,"South Vietnam","Laos","supportive",100
1963,"United States of America","Laos","supportive",100
1963,"Indonesia","Malaysia","opposing",50
1963,"United Kingdom","Malaysia","supportive",100
1963,"Argentina","Military faction (Colorados)","opposing",50
1963,"Iraq","Military faction (forces of Abd as-Salam Arif)","opposing",50
1963,"Algeria","Morocco","opposing",50
1963,"Portugal","MPLA","opposing",50
1963,"Iraq","NCRC","opposing",50
1963,"Myanmar (Burma)","NMSP","opposing",50
1963,"India","NNC","opposing",50
1963,"Egypt","North Yemen","supportive",100
1963,"Portugal","PAIGC","opposing",50
1963,"Israel","Palestinian insurgents","opposing",50
1963,"Laos","Pathet Lao","opposing",50
1963,"North Vietnam","Pathet Lao","supportive",100
1963,"South Vietnam","Pathet Lao","opposingdirected",200
1963,"United States of America","Pathet Lao","opposingdirected",200
1963,"Egypt","Royalists","opposingdirected",200
1963,"North Yemen","Royalists","opposing",50
1963,"Myanmar (Burma)","SNUF","opposing",50
1963,"United States of America","South Vietnam","supportive",100
1964,"Myanmar (Burma)","ANLP","opposing",50
1964,"Sudan","Anya Nya","opposing",50
1964,"Malaysia","CCO","opposing",50
1964,"DR Congo (Zaire)","CNL","opposing",50
1964,"Myanmar (Burma)","CPA","opposing",50
1964,"Myanmar (Burma)","CPB","opposing",50
1964,"Ethiopia","ELF ","opposing",50
1964,"Colombia","FARC","opposing",50
1964,"United Kingdom","FLOSY","opposing",50
1964,"South Vietnam","FNL","opposing",50
1964,"United States of America","FNL","opposingdirected",200
1964,"Portugal","FNLA","opposing",50
1964,"Portugal","Frelimo","opposing",50
1964,"France","Gabon","opposingdirected",200
1964,"United Kingdom","Indonesia","opposingdirected",200
1964,"Iraq","KDP","opposing",50
1964,"Myanmar (Burma)","KIO","opposing",50
1964,"Myanmar (Burma)","KNUP","opposing",50
1964,"North Vietnam","Laos","opposingdirected",200
1964,"South Vietnam","Laos","supportive",100
1964,"United States of America","Laos","supportive",100
1964,"Indonesia","Malaysia","opposing",50
1964,"United Kingdom","Malaysia","supportive",100
1964,"France","Military faction (forces loyal to Léon M'Ba)","supportive",100
1964,"Gabon","Military faction (forces loyal to Léon M'Ba)","opposing",50
1964,"Portugal","MPLA","opposing",50
1964,"India","NNC","opposing",50
1964,"Egypt","North Yemen","supportive",100
1964,"Ethiopia","Ogaden Liberation Front","opposing",50
1964,"Portugal","PAIGC","opposing",50
1964,"India","Pakistan","opposing",50
1964,"Israel","Palestinian insurgents","opposing",50
1964,"Laos","Pathet Lao","opposing",50
1964,"North Vietnam","Pathet Lao","supportive",100
1964,"South Vietnam","Pathet Lao","opposingdirected",200
1964,"United States of America","Pathet Lao","opposingdirected",200
1964,"Egypt","Royalists","opposingdirected",200
1964,"North Yemen","Royalists","opposing",50
